[2013-06-06 11:20:40,985]	------- Initializing ----------------------
[2013-06-06 11:20:41,033]	Using default implementation for ThreadExecutor
[2013-06-06 11:20:41,047]	Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
[2013-06-06 11:20:41,047]	Quartz Scheduler v.UNKNOWN.UNKNOWN.UNKNOWN created.
[2013-06-06 11:20:41,051]	Registering Quartz Job Initialization Plug-in.
[2013-06-06 11:20:41,052]	RAMJobStore initialized.
[2013-06-06 11:20:41,053]	Scheduler meta-data: Quartz Scheduler (vUNKNOWN.UNKNOWN.UNKNOWN) 'TestScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 3 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

[2013-06-06 11:20:41,053]	Quartz scheduler 'TestScheduler' initialized from default file in current working dir: 'quartz.properties'
[2013-06-06 11:20:41,053]	Quartz scheduler version: UNKNOWN.UNKNOWN.UNKNOWN
[2013-06-06 11:20:41,053]	------- Initialization Complete -----------
[2013-06-06 11:20:41,053]	------- Scheduling Jobs -------------------
[2013-06-06 11:20:41,065]	group1.interruptableJob1 will run at: Thu Jun 06 11:20:45 CST 2013 and repeat: -1 times, every 5 seconds
[2013-06-06 11:20:41,084]	Unable to load local schema packaged in quartz distribution jar. Utilizing schema online at http://www.quartz-scheduler.org/xml/job_scheduling_data_2_0.xsd
[2013-06-06 11:20:41,088]	Parsing XML file: quartz_data.xml with systemId: quartz_data.xml
[2013-06-06 11:20:41,759]	Deleting all jobs in ALL groups.
[2013-06-06 11:20:41,762]	Deleting all triggers in ALL groups.
[2013-06-06 11:20:41,765]	Adding 3 jobs, 4 triggers.
[2013-06-06 11:20:41,765]	Adding job: DEFAULT.TestJob1
[2013-06-06 11:20:41,765]	Adding job: DEFAULT.TestDurableJob
[2013-06-06 11:20:41,765]	Adding job: GroupOfTestJob2.TestJob2
[2013-06-06 11:20:41,770]	Scheduler TestScheduler_$_NON_CLUSTERED started.
[2013-06-06 11:20:41,770]	------- Started Scheduler -----------------
[2013-06-06 11:20:41,770]	------- Starting loop to interrupt job every 7 seconds ----------
[2013-06-06 11:20:41,789]	Job JobSchedulingDataLoaderPlugin.JobSchedulingDataLoaderPlugin_jobInitializer_quartz_data_xml fired (by trigger JobSchedulingDataLoaderPlugin.JobSchedulingDataLoaderPlugin_jobInitializer_quartz_data_xml) at:  11:20:41 06/06/2013
[2013-06-06 11:20:41,790]	Job DEFAULT.TestJob1 fired (by trigger DEFAULT.TestSimpleTrigger1AtFiveSecondInterval) at:  11:20:41 06/06/2013
[2013-06-06 11:20:41,790]	Job GroupOfTestJob2.TestJob2 fired (by trigger GroupOfTestJob2Triggers.TestSimpleTrigger2AtTenSecondIntervalAndFiveRepeats) at:  11:20:41 06/06/2013
[2013-06-06 11:20:41,790]	Executing job: DEFAULT.TestJob1 executing at Thu Jun 06 11:20:41 CST 2013, fired by: DEFAULT.TestSimpleTrigger1AtFiveSecondInterval
[2013-06-06 11:20:41,790]	Job JobSchedulingDataLoaderPlugin.JobSchedulingDataLoaderPlugin_jobInitializer_quartz_data_xml execution complete at  11:20:41 06/06/2013 and reports: null
[2013-06-06 11:20:41,791]	Job DEFAULT.TestJob1 execution complete at  11:20:41 06/06/2013 and reports: hello
[2013-06-06 11:20:41,790]	Executing job: GroupOfTestJob2.TestJob2 executing at Thu Jun 06 11:20:41 CST 2013, fired by: GroupOfTestJob2Triggers.TestSimpleTrigger2AtTenSecondIntervalAndFiveRepeats
[2013-06-06 11:20:41,791]	 - jobDataMap entry: someKey = someValue
[2013-06-06 11:20:41,791]	 - jobDataMap entry: someOtherKey = someOtherValue
[2013-06-06 11:20:41,791]	Job GroupOfTestJob2.TestJob2 execution complete at  11:20:41 06/06/2013 and reports: hello
[2013-06-06 11:20:41,791]	Job GroupOfTestJob2.TestJob2 fired (by trigger GroupOfTestJob2Triggers.TestCronTrigger2AtEveryMinuteOnThe45thSecond) at:  11:20:41 06/06/2013
[2013-06-06 11:20:41,792]	Executing job: GroupOfTestJob2.TestJob2 executing at Thu Jun 06 11:20:41 CST 2013, fired by: GroupOfTestJob2Triggers.TestCronTrigger2AtEveryMinuteOnThe45thSecond
[2013-06-06 11:20:41,792]	 - jobDataMap entry: someKey = someValue
[2013-06-06 11:20:41,792]	 - jobDataMap entry: someOtherKey = someOtherValue
